# arm0_j0_set_velocity arm0_j1_set_velocity arm0_j2_set_velocity arm1_j0_set_velocity arm1_j1_set_velocity arm1_j2_set_velocity read_position_0 read_position_1 read_position_2 read_position_3 read_position_4 read_position_5 read_velocity_0 read_velocity_1 read_velocity_2 read_velocity_3 read_velocity_4 read_velocity_5 position_error_0 position_error_1 position_error_2 position_error_3 position_error_4 position_error_5 kp_velocity_0 kp_velocity_1 kp_velocity_2 kp_velocity_3 kp_velocity_4 kp_velocity_5 max_velocity_bound_0 max_velocity_bound_1 max_velocity_bound_2 max_velocity_bound_3 max_velocity_bound_4 max_velocity_bound_5 max_acceleration_bound_0 max_acceleration_bound_1 max_acceleration_bound_2 max_acceleration_bound_3 max_acceleration_bound_4 max_acceleration_bound_5 JointPosCmd_0 JointPosCmd_1 JointPosCmd_2 JointPosCmd_3 JointPosCmd_4 JointPosCmd_5 status t1 t2 receiver_communication_time receiver_running_time
0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.0200 0.0300 0.0400 0.0500 0.0600 0.0700 0.0300 0.0500 0.0700 0.0900 0.1100 0.1300 0.0400 0.0700 0.1000 0.1300 0.1600 0.1900 0.0500 0.0900 0.1300 0.1700 0.2100 0.2500 0.0600 0.1100 0.1600 0.2100 0.2600 0.3100 0.0700 0.1300 0.1900 0.2500 0.3100 0.3700 0.8415 0.9093 0.1411 -0.7568 -0.9589 -0.2794 1 1.000 0.500 110 1010
0.2100 0.3100 0.4100 0.5100 0.6100 0.7100 0.0210 0.0310 0.0410 0.0510 0.0610 0.0710 0.0310 0.0510 0.0710 0.0910 0.1110 0.1310 0.0410 0.0710 0.1010 0.1310 0.1610 0.1910 0.0510 0.0910 0.1310 0.1710 0.2110 0.2510 0.0610 0.1110 0.1610 0.2110 0.2610 0.3110 0.0710 0.1310 0.1910 0.2510 0.3110 0.3710 0.8912 0.8632 0.0416 -0.8183 -0.9258 -0.1822 2 1.100 0.550 111 1011
0.2200 0.3200 0.4200 0.5200 0.6200 0.7200 0.0220 0.0320 0.0420 0.0520 0.0620 0.0720 0.0320 0.0520 0.0720 0.0920 0.1120 0.1320 0.0420 0.0720 0.1020 0.1320 0.1620 0.1920 0.0520 0.0920 0.1320 0.1720 0.2120 0.2520 0.0620 0.1120 0.1620 0.2120 0.2620 0.3120 0.0720 0.1320 0.1920 0.2520 0.3120 0.3720 0.9320 0.8085 -0.0584 -0.8716 -0.8835 -0.0831 0 1.200 0.600 112 1012
0.2300 0.3300 0.4300 0.5300 0.6300 0.7300 0.0230 0.0330 0.0430 0.0530 0.0630 0.0730 0.0330 0.0530 0.0730 0.0930 0.1130 0.1330 0.0430 0.0730 0.1030 0.1330 0.1630 0.1930 0.0530 0.0930 0.1330 0.1730 0.2130 0.2530 0.0630 0.1130 0.1630 0.2130 0.2630 0.3130 0.0730 0.1330 0.1930 0.2530 0.3130 0.3730 0.9636 0.7457 -0.1577 -0.9162 -0.8323 0.0168 1 1.300 0.650 113 1013
0.2400 0.3400 0.4400 0.5400 0.6400 0.7400 0.0240 0.0340 0.0440 0.0540 0.0640 0.0740 0.0340 0.0540 0.0740 0.0940 0.1140 0.1340 0.0440 0.0740 0.1040 0.1340 0.1640 0.1940 0.0540 0.0940 0.1340 0.1740 0.2140 0.2540 0.0640 0.1140 0.1640 0.2140 0.2640 0.3140 0.0740 0.1340 0.1940 0.2540 0.3140 0.3740 0.9854 0.6755 -0.2555 -0.9516 -0.7728 0.1165 2 1.400 0.700 114 1014
0.2500 0.3500 0.4500 0.5500 0.6500 0.7500 0.0250 0.0350 0.0450 0.0550 0.0650 0.0750 0.0350 0.0550 0.0750 0.0950 0.1150 0.1350 0.0450 0.0750 0.1050 0.1350 0.1650 0.1950 0.0550 0.0950 0.1350 0.1750 0.2150 0.2550 0.0650 0.1150 0.1650 0.2150 0.2650 0.3150 0.0750 0.1350 0.1950 0.2550 0.3150 0.3750 0.9975 0.5985 -0.3508 -0.9775 -0.7055 0.2151 0 1.500 0.750 115 1015
0.2600 0.3600 0.4600 0.5600 0.6600 0.7600 0.0260 0.0360 0.0460 0.0560 0.0660 0.0760 0.0360 0.0560 0.0760 0.0960 0.1160 0.1360 0.0460 0.0760 0.1060 0.1360 0.1660 0.1960 0.0560 0.0960 0.1360 0.1760 0.2160 0.2560 0.0660 0.1160 0.1660 0.2160 0.2660 0.3160 0.0760 0.1360 0.1960 0.2560 0.3160 0.3760 0.9996 0.5155 -0.4425 -0.9937 -0.6313 0.3115 1 1.600 0.800 116 1016
0.2700 0.3700 0.4700 0.5700 0.6700 0.7700 0.0270 0.0370 0.0470 0.0570 0.0670 0.0770 0.0370 0.0570 0.0770 0.0970 0.1170 0.1370 0.0470 0.0770 0.1070 0.1370 0.1670 0.1970 0.0570 0.0970 0.1370 0.1770 0.2170 0.2570 0.0670 0.1170 0.1670 0.2170 0.2670 0.3170 0.0770 0.1370 0.1970 0.2570 0.3170 0.3770 0.9917 0.4274 -0.5298 -0.9999 -0.5507 0.4048 2 1.700 0.850 117 1017
0.2800 0.3800 0.4800 0.5800 0.6800 0.7800 0.0280 0.0380 0.0480 0.0580 0.0680 0.0780 0.0380 0.0580 0.0780 0.0980 0.1180 0.1380 0.0480 0.0780 0.1080 0.1380 0.1680 0.1980 0.0580 0.0980 0.1380 0.1780 0.2180 0.2580 0.0680 0.1180 0.1680 0.2180 0.2680 0.3180 0.0780 0.1380 0.1980 0.2580 0.3180 0.3780 0.9738 0.3350 -0.6119 -0.9962 -0.4646 0.4941 0 1.800 0.900 118 1018
0.2900 0.3900 0.4900 0.5900 0.6900 0.7900 0.0290 0.0390 0.0490 0.0590 0.0690 0.0790 0.0390 0.0590 0.0790 0.0990 0.1190 0.1390 0.0490 0.0790 0.1090 0.1390 0.1690 0.1990 0.0590 0.0990 0.1390 0.1790 0.2190 0.2590 0.0690 0.1190 0.1690 0.2190 0.2690 0.3190 0.0790 0.1390 0.1990 0.2590 0.3190 0.3790 0.9463 0.2392 -0.6878 -0.9825 -0.3739 0.5784 1 1.900 0.950 119 1019
